9,Nadira,R,-7.74280462,110.385032,6
9,Tk Anazila,R,-7.74212432,110.3785982,7
9,SRC Herbamed,RO,-7.744427,110.380144,8
9,Cahaya pelangi,R,-7.74379154,110.3817531,9
9,Sangadi,RO,-7.746803,110.382187,10
9,Vino,R,-7.74669252,110.3825233,11
9,Nuren,RO,-7.751149,110.377672,12
9,Bibit,RO,-7.751457,110.382157,13
9,Salsabila,RO,-7.740046,110.380906,14
9,Lunar,RO,-7.736514,110.381277,15
9,Bu harto,RO,-7.739936,110.38059,16
9,BU WIN,,-7.75339214,110.3751249,17
9,GRIYA LAUNDRY,,-7.752774,110.375893,18
9,ALVARO,,-7.75161276,110.3764759,19
9,ANAN,,-7.75202505,110.3760179,20
9,Selaras,,-7.75282789,110.3753915,21
9,Joni,,-7.75352,110.375218,22
9,Basuki,,-7.753545,110.376843,23
9,Mbah Midi,,-7.75463782,110.3765781,24
9,kembar,,-7.75560849,110.3769583,25
9,Ninik,,-7.7558112,110.3763029,26
9,Putra Sahaja,,-7.75555851,110.3763456,27
9,Tutik,,-7.756698,110.372103,28
9,ABS,,7.756272,110.38026,29
9,Sembako Madura,,-7.754719,110.38179,30
9,Pak tono,,-7.756017,110.376031,31
9,Mulyo,,-7.76168913,110.3797986,32
9,Syarifah,,-7.764314,110.378912,33
9,Carisa,,-7.76386,110.374302,34
9,Abe,,-7.762919,110.374206,35
9,D'eva,,-7.761823,110.374997,36
9,Nurjanah,,-7.752966,110.377158,37
9,Iqbal,,-7.762293,110.379512,38
9,Elisa,,-7.755684,110.377576,39
9,Hartatik,,-7.753052,110.37053,40
9,Angkringan mas kendang,,-7.754149,110.369985,41
9,Nuha sembako,,-7.756293,110.370943,42
9,Almera,,-7.756548,110.371898,43
9,Dua putri,,-7.756614,110.373038,44
9,WR Rejeki,,-7.755682,110.377725,45
10,Guna mart,,-7.761753,110.37546,1
10,Avina,,-7.761854,110.375009,2
10,Bu kidi,,-7.762329,110.379582,3
10,Wulan,,-7.762105,110.378898,4
10,Sayur segar,,-7.762537,110.373426,5
10,parjiyem,,-7.761663,110.372914,6
10,SRC Sri Rejeki,,-7.761061,110.372285,7
10,Badawi,,-7.759886,110.372113,8
10,An Nur,,-7.752726,110.377291,9
10,Tk Safa,,-7.754,110.371019,10
10,Sahabat,,-7.756298,110.370393,11
10,Tk Alif,,,,12
10,Bu Yung,,,,13
10,Surya,,,,14
